Average Degree of Seperation,3.221631206
Community  68 :,
Number of Nodes,47
Length  2 ,92
Length  3 ,1896
Length  4 ,88
Length  5 ,86
Average Degree of Seperation,3.077705828
Community  69 :,
Number of Nodes,46
Length  2 ,90
Length  3 ,1810
Length  4 ,86
Length  5 ,84
Average Degree of Seperation,3.079227053
Community  70 :,
Number of Nodes,46
Length  2 ,90
Length  3 ,1980
Average Degree of Seperation,2.956521739
Community  71 :,
Number of Nodes,45
Length  2 ,88
Length  3 ,1646
Length  4 ,240
Length  5 ,6
Average Degree of Seperation,3.082828283
Community  72 :,
Number of Nodes,40
Length  2 ,78
Length  3 ,1408
Length  4 ,74
Average Degree of Seperation,2.997435897
Community  73 :,
Number of Nodes,39
Length  2 ,76
Length  3 ,692
Length  4 ,114
Length  5 ,574
Length  6 ,26
Average Degree of Seperation,3.852901484
Community  74 :,
Number of Nodes,39
Length  2 ,76
Length  3 ,1406
Average Degree of Seperation,2.948717949
Community  75 :,
Number of Nodes,38
Length  2 ,74
Length  3 ,696
Length  4 ,86
Length  5 ,452
Length  6 ,50
Length  7 ,48
Average Degree of Seperation,3.894736842
Community  76 :,
Number of Nodes,38
Length  2 ,74
Length  3 ,1332
Average Degree of Seperation,2.947368421
Community  77 :,
Number of Nodes,37
Length  2 ,72
Length  3 ,1260
Average Degree of Seperation,2.945945946
Community  78 :,
Number of Nodes,37
Length  2 ,72
Length  3 ,1192
Length  4 ,68
Average Degree of Seperation,2.996996997
Community  79 :,
Number of Nodes,37
Length  2 ,72
Length  3 ,1260
Average Degree of Seperation,2.945945946
Community  80 :,
Number of Nodes,36
Length  2 ,70
Length  3 ,1190
Average Degree of Seperation,2.944444444
Community  81 :,
Number of Nodes,36
Length  2 ,70
Length  3 ,1190
Average Degree of Seperation,2.944444444
Community  82 :,
Number of Nodes,34
Length  2 ,66
Length  3 ,734
Length  4 ,62
Length  5 ,260
Average Degree of Seperation,3.459893048
Community  83 :,
Number of Nodes,34
Length  2 ,66
Length  3 ,462
Length  4 ,96
Length  5 ,434
Length  6 ,24
Length  7 ,40
Average Degree of Seperation,4.007130125
Community  84 :,
Number of Nodes,34
Length  2 ,66
Length  3 ,1056
Average Degree of Seperation,2.941176471
Community  85 :,
Number of Nodes,32
Length  2 ,62
Length  3 ,930
Average Degree of Seperation,2.9375
Community  86 :,
Number of Nodes,32
Length  2 ,62
Length  3 ,930
Average Degree of Seperation,2.9375
Community  87 :,
Number of Nodes,32
Length  2 ,62
Length  3 ,816
Length  4 ,58
Length  5 ,56
Average Degree of Seperation,3.108870968
Community  88 :,
Number of Nodes,32
Length  2 ,62
Length  3 ,432
Length  4 ,88
Length  5 ,386
Length  6 ,24
Average Degree of Seperation,3.877016129
Community  89 :,
Number of Nodes,31
Length  2 ,60
Length  3 ,870
Average Degree of Seperation,2.935483871
Community  90 :,
Number of Nodes,31
Length  2 ,60
Length  3 ,870
Average Degree of Seperation,2.935483871
Community  91 :,
Number of Nodes,31
Length  2 ,60
Length  3 ,292
Length  4 ,110
Length  5 ,292
Length  6 ,46
Length  7 ,130
Average Degree of Seperation,4.389247312
Community  92 :,
Number of Nodes,31
Length  2 ,60
Length  3 ,814
Length  4 ,56
Average Degree of Seperation,2.995698925
Community  93 :,
Number of Nodes,31
Length  2 ,60
Length  3 ,408
Length  4 ,90
Length  5 ,326
Length  6 ,18
Length  7 ,28
Average Degree of Seperation,3.911827957
Community  94 :,
Number of Nodes,31
Length  2 ,60
Length  3 ,760
Length  4 ,56
Length  5 ,54
Average Degree of Seperation,3.111827957
Community  95 :,
Number of Nodes,31
Length  2 ,60
Length  3 ,870
Average Degree of Seperation,2.935483871
Community  96 :,
Number of Nodes,29
Length  2 ,56
Length  3 ,350
Length  4 ,144
Length  5 ,262
Average Degree of Seperation,3.753694581
Community  97 :,
Number of Nodes,29
Length  2 ,56
Length  3 ,756
Average Degree of Seperation,2.931034483
Community  98 :,
Number of Nodes,29
Length  2 ,56
Length  3 ,608
Length  4 ,52
Length  5 ,96
Average Degree of Seperation,3.231527094
Community  99 :,
Number of Nodes,28
Length  2 ,54
Length  3 ,480
Length  4 ,96
Length  5 ,126
Average Degree of Seperation,3.388888889
Community  100 :,
Number of Nodes,28
Length  2 ,54
Length  3 ,702
Average Degree of Seperation,2.928571429
Community  101 :,
Number of Nodes,28
Length  2 ,54
Length  3 ,702
Average Degree of Seperation,2.928571429
Community  102 :,
Number of Nodes,28
Length  2 ,54
Length  3 ,702
Average Degree of Seperation,2.928571429
Community  103 :,
Number of Nodes,27
Length  2 ,52
Length  3 ,650
Average Degree of Seperation,2.925925926
Community  104 :,
Number of Nodes,27
Length  2 ,52
Length  3 ,556
Length  4 ,48
Length  5 ,46
Average Degree of Seperation,3.125356125
Community  105 :,
Number of Nodes,27
Length  2 ,52
Length  3 ,650
Average Degree of Seperation,2.925925926
Community  106 :,
Number of Nodes,27
Length  2 ,52
Length  3 ,650
Average Degree of Seperation,2.925925926
Community  107 :,
Number of Nodes,26
Length  2 ,50
Length  3 ,374
Length  4 ,46
Length  5 ,180
Average Degree of Seperation,3.547692308
Community  108 :,
Number of Nodes,25
Length  2 ,48
Length  3 ,552
Average Degree of Seperation,2.92
Community  109 :,
Number of Nodes,25
Length  2 ,48
Length  3 ,552
Average Degree of Seperation,2.92
Community  110 :,
Number of Nodes,25
Length  2 ,48
Length  3 ,552
Average Degree of Seperation,2.92
Community  111 :,
Number of Nodes,24
Length  2 ,46
Length  3 ,506
Average Degree of Seperation,2.916666667
Community  112 :,
Number of Nodes,24
Length  2 ,46
Length  3 ,506
Average Degree of Seperation,2.916666667
Community  113 :,
Number of Nodes,24
Length  2 ,46
Length  3 ,352
Length  4 ,76
Length  5 ,74
Length  6 ,4
Average Degree of Seperation,3.344202899
Community  114 :,
Number of Nodes,24
Length  2 ,46
Length  3 ,506
Average Degree of Seperation,2.916666667
Community  115 :,
Number of Nodes,23
Length  2 ,44
Length  3 ,462
Average Degree of Seperation,2.913043478
Community  116 :,
Number of Nodes,22
Length  2 ,42
Length  3 ,202
Length  4 ,38
Length  5 ,180
Average Degree of Seperation,3.770562771
Community  117 :,
Number of Nodes,22
Length  2 ,42
Length  3 ,382
Length  4 ,38
Average Degree of Seperation,2.991341991
Community  118 :,
Number of Nodes,22
Length  2 ,42
Length  3 ,420
Average Degree of Seperation,2.909090909
Community  119 :,
Number of Nodes,22
Length  2 ,42
Length  3 ,420
Average Degree of Seperation,2.909090909
Community  120 :,
Number of Nodes,21
Length  2 ,40
Length  3 ,380
Average Degree of Seperation,2.904761905
Community  121 :,
Number of Nodes,21
Length  2 ,40
Length  3 ,310
Length  4 ,36
Length  5 ,34
Average Degree of Seperation,3.152380952
Community  122 :,
Number of Nodes,21
Length  2 ,40
Length  3 ,380
Average Degree of Seperation,2.904761905
Community  123 :,
Number of Nodes,21
Length  2 ,40
Length  3 ,380
Average Degree of Seperation,2.904761905
Community  124 :,
Number of Nodes,20
Length  2 ,38
Length  3 ,342
Average Degree of Seperation,2.9
Community  125 :,
Number of Nodes,20
Length  2 ,38
Length  3 ,342
Average Degree of Seperation,2.9
Community  126 :,
Number of Nodes,20
Length  2 ,38
Length  3 ,168
Length  4 ,34
Length  5 ,140
Average Degree of Seperation,3.726315789
Community  127 :,
Number of Nodes,20
Length  2 ,38
Length  3 ,342
Average Degree of Seperation,2.9
Community  128 :,
Number of Nodes,20
Length  2 ,38
Length  3 ,308
Length  4 ,34
Average Degree of Seperation,2.989473684
Community  129 :,
Number of Nodes,20
Length  2 ,38
Length  3 ,342
Average Degree of Seperation,2.9
Community  130 :,
Number of Nodes,19
Length  2 ,36
Length  3 ,306
Average Degree of Seperation,2.894736842
Community  131 :,
Number of Nodes,19
Length  2 ,36
Length  3 ,306
Average Degree of Seperation,2.894736842
Community  132 :,
Number of Nodes,19
Length  2 ,36
Length  3 ,274
Length  4 ,32
Average Degree of Seperation,2.988304094
Community  133 :,
Number of Nodes,19
Length  2 ,36
Length  3 ,306
Average Degree of Seperation,2.894736842
Community  134 :,
Number of Nodes,19
Length  2 ,36
Length  3 ,306
Average Degree of Seperation,2.894736842
Community  135 :,
Number of Nodes,19
Length  2 ,36
Length  3 ,306
Average Degree of Seperation,2.894736842
Community  136 :,
Number of Nodes,18
Length  2 ,34
Length  3 ,272
Average Degree of Seperation,2.888888889
Community  137 :,
Number of Nodes,18
Length  2 ,34
Length  3 ,272
Average Degree of Seperation,2.888888889
Community  138 :,
Number of Nodes,18
Length  2 ,34
Length  3 ,242
Length  4 ,30
Average Degree of Seperation,2.986928105
Community  139 :,
Number of Nodes,18
Length  2 ,34
Length  3 ,272
Average Degree of Seperation,2.888888889
Community  140 :,
Number of Nodes,17
Length  2 ,32
Length  3 ,186
Length  4 ,28
Length  5 ,26
Average Degree of Seperation,3.176470588
Community  141 :,
Number of Nodes,17
Length  2 ,32
Length  3 ,212
Length  4 ,28
Average Degree of Seperation,2.985294118
Community  142 :,
Number of Nodes,17
Length  2 ,32
Length  3 ,78
Length  4 ,32
Length  5 ,62
Length  6 ,20
Length  7 ,48
Average Degree of Seperation,4.382352941
Community  143 :,
Number of Nodes,16
Length  2 ,30
Length  3 ,210
Average Degree of Seperation,2.875
Community  144 :,
Number of Nodes,16
Length  2 ,30
Length  3 ,210
Average Degree of Seperation,2.875
Community  145 :,
Number of Nodes,16
Length  2 ,30
Length  3 ,210
Average Degree of Seperation,2.875
Community  146 :,
Number of Nodes,16
Length  2 ,30
Length  3 ,210
Average Degree of Seperation,2.875
Community  147 :,
Number of Nodes,16
Length  2 ,30
Length  3 ,210
Average Degree of Seperation,2.875
Community  148 :,
Number of Nodes,16
Length  2 ,30
Length  3 ,104
Length  4 ,26
Length  5 ,80
Average Degree of Seperation,3.65
Community  149 :,
Number of Nodes,16
Length  2 ,30
Length  3 ,184
Length  4 ,26
Average Degree of Seperation,2.983333333
Community  150 :,
Number of Nodes,16
Length  2 ,30
Length  3 ,210
Average Degree of Seperation,2.875
Community  151 :,
Number of Nodes,16
Length  2 ,30
Length  3 ,210
Average Degree of Seperation,2.875
Community  152 :,
Number of Nodes,16
Length  2 ,30
Length  3 ,210
Average Degree of Seperation,2.875
Community  153 :,
Number of Nodes,15
Length  2 ,28
Length  3 ,182
Average Degree of Seperation,2.866666667
Community  154 :,
Number of Nodes,15
Length  2 ,28
Length  3 ,158
Length  4 ,24
Average Degree of Seperation,2.980952381
Community  155 :,
Number of Nodes,15
Length  2 ,28
Length  3 ,182
Average Degree of Seperation,2.866666667
Community  156 :,
Number of Nodes,15
Length  2 ,28
Length  3 ,182
Average Degree of Seperation,2.866666667
Community  157 :,
Number of Nodes,15
Length  2 ,28
Length  3 ,182
Average Degree of Seperation,2.866666667
Community  158 :,
Number of Nodes,15
Length  2 ,28
Length  3 ,104
Length  4 ,24
Length  5 ,54
Average Degree of Seperation,3.495238095
Community  159 :,
Number of Nodes,14
Length  2 ,26
Length  3 ,156
Average Degree of Seperation,2.857142857
Community  160 :,
Number of Nodes,14
Length  2 ,26
Length  3 ,156
Average Degree of Seperation,2.857142857
Community  161 :,
Number of Nodes,14
Length  2 ,26
Length  3 ,156
Average Degree of Seperation,2.857142857
Community  162 :,
Number of Nodes,14
Length  2 ,26
Length  3 ,156
Average Degree of Seperation,2.857142857
Community  163 :,
Number of Nodes,14
Length  2 ,26
Length  3 ,156
Average Degree of Seperation,2.857142857
Community  164 :,
Number of Nodes,14
Length  2 ,26
Length  3 ,156
Average Degree of Seperation,2.857142857
Community  165 :,
Number of Nodes,14
Length  2 ,26
Length  3 ,156
Average Degree of Seperation,2.857142857
Community  166 :,
Number of Nodes,13
Length  2 ,24
Length  3 ,132
Average Degree of Seperation,2.846153846
Community  167 :,
Number of Nodes,13
Length  2 ,24
Length  3 ,132
Average Degree of Seperation,2.846153846
Community  168 :,
Number of Nodes,13
Length  2 ,24
Length  3 ,132
Average Degree of Seperation,2.846153846
Community  169 :,
Number of Nodes,13
Length  2 ,24
Length  3 ,132
Average Degree of Seperation,2.846153846
Community  170 :,
Number of Nodes,13
Length  2 ,24
Length  3 ,132
Average Degree of Seperation,2.846153846
Community  171 :,
Number of Nodes,13
Length  2 ,24
Length  3 ,132
Average Degree of Seperation,2.846153846
Community  172 :,
Number of Nodes,13
Length  2 ,24
Length  3 ,132
Average Degree of Seperation,2.846153846
Community  173 :,
Number of Nodes,13
Length  2 ,24
Length  3 ,132
Average Degree of Seperation,2.846153846
Community  174 :,
Number of Nodes,13
Length  2 ,24
Length  3 ,132
Average Degree of Seperation,2.846153846
Community  175 :,
Number of Nodes,13
Length  2 ,24
Length  3 ,132
Average Degree of Seperation,2.846153846
Community  176 :,
Number of Nodes,13
Length  2 ,24
Length  3 ,132
Average Degree of Seperation,2.846153846
Community  177 :,
Number of Nodes,13
Length  2 ,24
Length  3 ,132
Average Degree of Seperation,2.846153846
Community  178 :,
Number of Nodes,13
Length  2 ,24
Length  3 ,132
Average Degree of Seperation,2.846153846
Community  179 :,
Number of Nodes,13
Length  2 ,24
Length  3 ,132
Average Degree of Seperation,2.846153846
Community  180 :,
Number of Nodes,13
Length  2 ,24
Length  3 ,132
Average Degree of Seperation,2.846153846
Community  181 :,
Number of Nodes,12
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  182 :,
Number of Nodes,12
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  183 :,
Number of Nodes,12
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  184 :,
Number of Nodes,12
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  185 :,
Number of Nodes,12
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  186 :,
Number of Nodes,12
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  187 :,
Number of Nodes,12
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  188 :,
Number of Nodes,12
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  189 :,
Number of Nodes,12
Length  2 ,22
Length  3 ,64
Length  4 ,18
Length  5 ,28
Average Degree of Seperation,3.393939394
Community  190 :,
Number of Nodes,12
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  191 :,
Number of Nodes,12
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  192 :,
Number of Nodes,12
Length  2 ,22
Length  3 ,76
Length  4 ,18
Length  5 ,16
Average Degree of Seperation,3.212121212
Community  193 :,
Number of Nodes,12
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  194 :,
Number of Nodes,12
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  195 :,
Number of Nodes,12
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  196 :,
Number of Nodes,12
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  197 :,
Number of Nodes,12
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  198 :,
Number of Nodes,12
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  199 :,
Number of Nodes,11
Length  2 ,20
Length  3 ,90
Average Degree of Seperation,2.818181818
Community  200 :,
Number of Nodes,11
Length  2 ,20
Length  3 ,90
Average Degree of Seperation,2.818181818
Community  201 :,
Number of Nodes,11
Length  2 ,20
Length  3 ,60
Length  4 ,28
Length  5 ,2
Average Degree of Seperation,3.109090909
Community  202 :,
Number of Nodes,11
Length  2 ,20
Length  3 ,90
Average Degree of Seperation,2.818181818
Community  203 :,
Number of Nodes,11
Length  2 ,20
Length  3 ,44
Length  4 ,16
Length  5 ,30
